"Query","Algorithm","Time","WCOJTime","copy","mat"
"Clique(3)","WCOJ","4,33","1,08","0,08","2,32"
"Clique(3)","BinaryJoins","3,20","0,00","0,00","0,00"
"Clique(4)","WCOJ","8,28","3,49","0,10","4,05"
"Clique(4)","BinaryJoins","5,66","0,00","0,00","0,00"
"Clique(5)","WCOJ","20,02","7,39","0,08","11,73"
"Clique(5)","BinaryJoins","5,80","0,00","0,00","0,00"
"Clique(6)","WCOJ","27,16","11,22","0,03","15,10"
"Clique(6)","BinaryJoins","6,76","0,00","0,00","0,00"
"Cycle(4)","WCOJ","9,74","5,12","0,31","3,36"
"Cycle(4)","BinaryJoins","4,07","0,00","0,00","0,00"
"Cycle(5)","WCOJ","24,68","17,48","1,13","3,56"
"Cycle(5)","BinaryJoins","9,80","0,00","0,00","0,00"
"Cycle(6)","WCOJ","93,41","72,30","5,41","5,07"
"Cycle(6)","BinaryJoins","36,64","0,00","0,00","0,00"
"HouseQuery()","WCOJ","12,82","6,51","0,24","4,99"
"HouseQuery()","BinaryJoins","4,57","0,00","0,00","0,00"
