"Query","Algorithm","Time","WCOJTime","copy","mat","count"
"Cycle(4)","WCOJ","2,01","0,65","0,02","0,89","405317"
"Cycle(4)","BinaryJoins","1,20","0,00","0,00","0,00","405317"
"Clique(4)","WCOJ","1,48","0,38","0,00","0,74","61894"
"Clique(4)","BinaryJoins","1,40","0,00","0,00","0,00","61894"
"Clique(5)","WCOJ","2,81","0,84","0,00","1,44","70446"
"Clique(5)","BinaryJoins","1,51","0,00","0,00","0,00","70446"
"Clique(6)","WCOJ","4,05","1,72","0,00","1,82","56780"
"Clique(6)","BinaryJoins","1,57","0,00","0,00","0,00","56780"
"Cycle(5)","WCOJ","6,55","5,32","0,14","0,63","3336603"
"Cycle(5)","BinaryJoins","1,82","0,00","0,00","0,00","3336603"
"Cycle(6)","WCOJ","51,50","47,96","1,02","0,64","25767701"
"Cycle(6)","BinaryJoins","9,33","0,00","0,00","0,00","25767701"
